label,hash,flavor_text
ITEMNAME_000,2C73248BE879596A,None
ITEMNAME_001,2C73258BE8795B1D,Master Ball
ITEMNAME_002,2C73228BE8795604,Ultra Ball
ITEMNAME_003,2C73238BE87957B7,Great Ball
ITEMNAME_004,2C73208BE879529E,Poké Ball
ITEMNAME_005,2C73218BE8795451,Safari Ball
ITEMNAME_006,2C731E8BE8794F38,Net Ball
ITEMNAME_007,2C731F8BE87950EB,Dive Ball
ITEMNAME_008,2C731C8BE8794BD2,Nest Ball
ITEMNAME_009,2C731D8BE8794D85,Repeat Ball
ITEMNAME_010,2C768A8BE87C3C93,Timer Ball
ITEMNAME_011,2C76898BE87C3AE0,Luxury Ball
ITEMNAME_012,2C768C8BE87C3FF9,Premier Ball
ITEMNAME_013,2C768B8BE87C3E46,Dusk Ball
ITEMNAME_014,2C768E8BE87C435F,Heal Ball
ITEMNAME_015,2C768D8BE87C41AC,Quick Ball
ITEMNAME_016,2C76908BE87C46C5,Cherish Ball
ITEMNAME_017,2C768F8BE87C4512,Potion
ITEMNAME_018,2C76928BE87C4A2B,Antidote
ITEMNAME_019,2C76918BE87C4878,Burn Heal
ITEMNAME_020,2C6C188BE8732658,Ice Heal
ITEMNAME_021,2C6C198BE873280B,Awakening
ITEMNAME_022,2C6C1A8BE87329BE,Paralyze Heal
ITEMNAME_023,2C6C1B8BE8732B71,Full Restore
ITEMNAME_024,2C6C1C8BE8732D24,Max Potion
ITEMNAME_025,2C6C1D8BE8732ED7,Hyper Potion
ITEMNAME_026,2C6C1E8BE873308A,Super Potion
ITEMNAME_027,2C6C1F8BE873323D,Full Heal
ITEMNAME_028,2C6C108BE87318C0,Revive
ITEMNAME_029,2C6C118BE8731A73,Max Revive
ITEMNAME_030,2C6F9E8BE8763FE1,Fresh Water
ITEMNAME_031,2C6F9D8BE8763E2E,Soda Pop
ITEMNAME_032,2C6F9C8BE8763C7B,Lemonade
ITEMNAME_033,2C6F9B8BE8763AC8,Moomoo Milk
ITEMNAME_034,2C6FA28BE87646AD,Energy Powder
ITEMNAME_035,2C6FA18BE87644FA,Energy Root
ITEMNAME_036,2C6FA08BE8764347,Heal Powder
ITEMNAME_037,2C6F9F8BE8764194,Revival Herb
ITEMNAME_038,2C6F968BE8763249,Ether
ITEMNAME_039,2C6F958BE8763096,Max Ether
ITEMNAME_040,2C809C8BE884AFAE,Elixir
ITEMNAME_041,2C809D8BE884B161,Max Elixir
ITEMNAME_042,2C809A8BE884AC48,Lava Cookie
ITEMNAME_043,2C809B8BE884ADFB,Berry Juice
ITEMNAME_044,2C80A08BE884B67A,Sacred Ash
ITEMNAME_045,2C80A18BE884B82D,HP Up
ITEMNAME_046,2C809E8BE884B314,Protein
ITEMNAME_047,2C809F8BE884B4C7,Iron
ITEMNAME_048,2C80948BE884A216,Carbos
ITEMNAME_049,2C80958BE884A3C9,Calcium
ITEMNAME_050,2C84228BE887C937,Rare Candy
ITEMNAME_051,2C84218BE887C784,PP Up
ITEMNAME_052,2C84248BE887CC9D,Zinc
ITEMNAME_053,2C84238BE887CAEA,PP Max
ITEMNAME_054,2C841E8BE887C26B,Old Gateau
ITEMNAME_055,2C841D8BE887C0B8,Guard Spec.
ITEMNAME_056,2C84208BE887C5D1,Dire Hit
ITEMNAME_057,2C841F8BE887C41E,X Attack
ITEMNAME_058,2C841A8BE887BB9F,X Defense
ITEMNAME_059,2C84198BE887B9EC,X Speed
ITEMNAME_060,2C7A108BE87F561C,X Accuracy
ITEMNAME_061,2C7A118BE87F57CF,X Sp. Atk
ITEMNAME_062,2C7A128BE87F5982,X Sp. Def
ITEMNAME_063,2C7A138BE87F5B35,Poké Doll
ITEMNAME_064,2C7A0C8BE87F4F50,Fluffy Tail
ITEMNAME_065,2C7A0D8BE87F5103,Blue Flute
ITEMNAME_066,2C7A0E8BE87F52B6,Yellow Flute
ITEMNAME_067,2C7A0F8BE87F5469,Red Flute
ITEMNAME_068,2C7A188BE87F63B4,Black Flute
ITEMNAME_069,2C7A198BE87F6567,White Flute
ITEMNAME_070,2C7D168BE8819625,Shoal Salt
ITEMNAME_071,2C7D158BE8819472,Shoal Shell
ITEMNAME_072,2C7D148BE88192BF,Red Shard
ITEMNAME_073,2C7D138BE881910C,Blue Shard
ITEMNAME_074,2C7D128BE8818F59,Yellow Shard
ITEMNAME_075,2C7D118BE8818DA6,Green Shard
ITEMNAME_076,2C7D108BE8818BF3,Super Repel
ITEMNAME_077,2C7D0F8BE8818A40,Max Repel
ITEMNAME_078,2C7D1E8BE881A3BD,Escape Rope
ITEMNAME_079,2C7D1D8BE881A20A,Repel
ITEMNAME_080,2C58148BE8627682,Sun Stone
ITEMNAME_081,2C58158BE8627835,Moon Stone
ITEMNAME_082,2C58128BE862731C,Fire Stone
ITEMNAME_083,2C58138BE86274CF,Thunder Stone
ITEMNAME_084,2C58108BE8626FB6,Water Stone
ITEMNAME_085,2C58118BE8627169,Leaf Stone
ITEMNAME_086,2C580E8BE8626C50,Tiny Mushroom
ITEMNAME_087,2C580F8BE8626E03,Big Mushroom
ITEMNAME_088,2C581C8BE862841A,Pearl
ITEMNAME_089,2C581D8BE86285CD,Big Pearl
ITEMNAME_090,2C5B1A8BE864B68B,Stardust
ITEMNAME_091,2C5B198BE864B4D8,Star Piece
ITEMNAME_092,2C5B1C8BE864B9F1,Nugget
ITEMNAME_093,2C5B1B8BE864B83E,Heart Scale
ITEMNAME_094,2C5B1E8BE864BD57,Honey
ITEMNAME_095,2C5B1D8BE864BBA4,Growth Mulch
ITEMNAME_096,2C5B208BE864C0BD,Damp Mulch
ITEMNAME_097,2C5B1F8BE864BF0A,Stable Mulch
ITEMNAME_098,2C5B128BE864A8F3,Gooey Mulch
ITEMNAME_099,2C5B118BE864A740,Root Fossil
ITEMNAME_100,35893F8BEDBD86D5,Claw Fossil
ITEMNAME_101,35893E8BEDBD8522,Helix Fossil
ITEMNAME_102,35893D8BEDBD836F,Dome Fossil
ITEMNAME_103,35893C8BEDBD81BC,Old Amber
ITEMNAME_104,35893B8BEDBD8009,Armor Fossil
ITEMNAME_105,35893A8BEDBD7E56,Skull Fossil
ITEMNAME_106,3589398BEDBD7CA3,Rare Bone
ITEMNAME_107,3589388BEDBD7AF0,Shiny Stone
ITEMNAME_108,3589478BEDBD946D,Dusk Stone
ITEMNAME_109,3589468BEDBD92BA,Dawn Stone
ITEMNAME_110,3585B98BEDBA6D4C,Oval Stone
ITEMNAME_111,3585BA8BEDBA6EFF,Odd Keystone
ITEMNAME_112,3585BB8BEDBA70B2,Griseous Orb
ITEMNAME_113,3585BC8BEDBA7265,Tea
ITEMNAME_114,3585B58BEDBA6680,???
ITEMNAME_115,3585B68BEDBA6833,Autograph
ITEMNAME_116,3585B78BEDBA69E6,Douse Drive
ITEMNAME_117,3585B88BEDBA6B99,Shock Drive
ITEMNAME_118,3585C18BEDBA7AE4,Burn Drive
ITEMNAME_119,3585C28BEDBA7C97,Chill Drive
ITEMNAME_120,35904B8BEDC3B9E7,???
ITEMNAME_121,35904A8BEDC3B834,Pokémon Box Link
ITEMNAME_122,35904D8BEDC3BD4D,Medicine Pocket
