label,hash,flavor_text
MONSNAME_000,C037DA0BF78819DA,Egg
MONSNAME_001,C037DB0BF7881B8D,Bulbasaur
MONSNAME_002,C037D80BF7881674,Ivysaur
MONSNAME_003,C037D90BF7881827,Venusaur
MONSNAME_004,C037D60BF788130E,Charmander
MONSNAME_005,C037D70BF78814C1,Charmeleon
MONSNAME_006,C037D40BF7880FA8,Charizard
MONSNAME_007,C037D50BF788115B,Squirtle
MONSNAME_008,C037D20BF7880C42,Wartortle
MONSNAME_009,C037D30BF7880DF5,Blastoise
MONSNAME_010,C03B400BF78AFD03,Caterpie
MONSNAME_011,C03B3F0BF78AFB50,Metapod
MONSNAME_012,C03B420BF78B0069,Butterfree
MONSNAME_013,C03B410BF78AFEB6,Weedle
MONSNAME_014,C03B440BF78B03CF,Kakuna
MONSNAME_015,C03B430BF78B021C,Beedrill
MONSNAME_016,C03B460BF78B0735,Pidgey
MONSNAME_017,C03B450BF78B0582,Pidgeotto
MONSNAME_018,C03B480BF78B0A9B,Pidgeot
MONSNAME_019,C03B470BF78B08E8,Rattata
MONSNAME_020,C030CE0BF781E6C8,Raticate
MONSNAME_021,C030CF0BF781E87B,Spearow
MONSNAME_022,C030D00BF781EA2E,Fearow
MONSNAME_023,C030D10BF781EBE1,Ekans
MONSNAME_024,C030D20BF781ED94,Arbok
MONSNAME_025,C030D30BF781EF47,Pikachu
MONSNAME_026,C030D40BF781F0FA,Raichu
MONSNAME_027,C030D50BF781F2AD,Sandshrew
MONSNAME_028,C030C60BF781D930,Sandslash
MONSNAME_029,C030C70BF781DAE3,Nidoran♀
MONSNAME_030,C034540BF7850051,Nidorina
MONSNAME_031,C034530BF784FE9E,Nidoqueen
MONSNAME_032,C034520BF784FCEB,Nidoran♂
MONSNAME_033,C034510BF784FB38,Nidorino
MONSNAME_034,C034580BF785071D,Nidoking
MONSNAME_035,C034570BF785056A,Clefairy
MONSNAME_036,C034560BF78503B7,Clefable
MONSNAME_037,C034550BF7850204,Vulpix
MONSNAME_038,C0344C0BF784F2B9,Ninetales
MONSNAME_039,C0344B0BF784F106,Jigglypuff
MONSNAME_040,C045520BF793701E,Wigglytuff
MONSNAME_041,C045530BF79371D1,Zubat
