label,hash,flavor_text
SEIKAKU_000,D301D0C39F884F17,Hardy
SEIKAKU_001,D301CFC39F884D64,Lonely
SEIKAKU_002,D301D2C39F88527D,Brave
SEIKAKU_003,D301D1C39F8850CA,Adamant
SEIKAKU_004,D301CCC39F88484B,Naughty
SEIKAKU_005,D301CBC39F884698,Bold
SEIKAKU_006,D301CEC39F884BB1,Docile
SEIKAKU_007,D301CDC39F8849FE,Relaxed
SEIKAKU_008,D301C8C39F88417F,Impish
SEIKAKU_009,D301C7C39F883FCC,Lax
SEIKAKU_010,D2FECAC39F860F0E,Timid
SEIKAKU_011,D2FECBC39F8610C1,Hasty
SEIKAKU_012,D2FEC8C39F860BA8,Serious
SEIKAKU_013,D2FEC9C39F860D5B,Jolly
SEIKAKU_014,D2FECEC39F8615DA,Naive
SEIKAKU_015,D2FECFC39F86178D,Modest
SEIKAKU_016,D2FECCC39F861274,Mild
SEIKAKU_017,D2FECDC39F861427,Quiet
SEIKAKU_018,D2FEC2C39F860176,Bashful
SEIKAKU_019,D2FEC3C39F860329,Rash
SEIKAKU_020,D2FB44C39F82F585,Calm
SEIKAKU_021,D2FB43C39F82F3D2,Gentle
SEIKAKU_022,D2FB42C39F82F21F,Sassy
SEIKAKU_023,D2FB41C39F82F06C,Careful
SEIKAKU_024,D2FB40C39F82EEB9,Quirky
SEIKAKU_025,D2FB3FC39F82ED06,[~ 26]
