label,hash,flavor_text
TOKUSEI_000,4317A2DCBD62C860,—
TOKUSEI_001,4317A3DCBD62CA13,Stench
TOKUSEI_002,4317A4DCBD62CBC6,Drizzle
TOKUSEI_003,4317A5DCBD62CD79,Speed Boost
TOKUSEI_004,4317A6DCBD62CF2C,Battle Armor
TOKUSEI_005,4317A7DCBD62D0DF,Sturdy
TOKUSEI_006,4317A8DCBD62D292,Damp
TOKUSEI_007,4317A9DCBD62D445,Limber
TOKUSEI_008,4317AADCBD62D5F8,Sand Veil
TOKUSEI_009,4317ABDCBD62D7AB,Static
TOKUSEI_010,431B28DCBD65E1E9,Volt Absorb
TOKUSEI_011,431B27DCBD65E036,Water Absorb
TOKUSEI_012,431B26DCBD65DE83,Oblivious
TOKUSEI_013,431B25DCBD65DCD0,Cloud Nine
TOKUSEI_014,431B2CDCBD65E8B5,Compound Eyes
TOKUSEI_015,431B2BDCBD65E702,Insomnia
TOKUSEI_016,431B2ADCBD65E54F,Color Change
TOKUSEI_017,431B29DCBD65E39C,Immunity
TOKUSEI_018,431B30DCBD65EF81,Flash Fire
TOKUSEI_019,431B2FDCBD65EDCE,Shield Dust
TOKUSEI_020,431E2EDCBD6821F2,Own Tempo
TOKUSEI_021,431E2FDCBD6823A5,Suction Cups
TOKUSEI_022,431E2CDCBD681E8C,Intimidate
TOKUSEI_023,431E2DDCBD68203F,Shadow Tag
TOKUSEI_024,431E2ADCBD681B26,Rough Skin
TOKUSEI_025,431E2BDCBD681CD9,Wonder Guard
TOKUSEI_026,431E28DCBD6817C0,Levitate
TOKUSEI_027,431E29DCBD681973,Effect Spore
TOKUSEI_028,431E36DCBD682F8A,Synchronize
TOKUSEI_029,431E37DCBD68313D,Clear Body
TOKUSEI_030,4321B4DCBD6B3B7B,Natural Cure
TOKUSEI_031,4321B3DCBD6B39C8,Lightning Rod
TOKUSEI_032,4321B6DCBD6B3EE1,Serene Grace
TOKUSEI_033,4321B5DCBD6B3D2E,Swift Swim
TOKUSEI_034,4321B8DCBD6B4247,Chlorophyll
TOKUSEI_035,4321B7DCBD6B4094,Illuminate
TOKUSEI_036,4321BADCBD6B45AD,Trace
TOKUSEI_037,4321B9DCBD6B43FA,Huge Power
TOKUSEI_038,4321ACDCBD6B2DE3,Poison Point
TOKUSEI_039,4321ABDCBD6B2C30,Inner Focus
TOKUSEI_040,43253ADCBD6E5504,Magma Armor
TOKUSEI_041,43253BDCBD6E56B7,Water Veil
TOKUSEI_042,43253CDCBD6E586A,Magnet Pull
TOKUSEI_043,43253DDCBD6E5A1D,Soundproof
TOKUSEI_044,432536DCBD6E4E38,Rain Dish
TOKUSEI_045,432537DCBD6E4FEB,Sand Stream
TOKUSEI_046,432538DCBD6E519E,Pressure
TOKUSEI_047,432539DCBD6E5351,Thick Fat
TOKUSEI_048,432532DCBD6E476C,Early Bird
TOKUSEI_049,432533DCBD6E491F,Flame Body
TOKUSEI_050,4328C0DCBD716E8D,Run Away
TOKUSEI_051,4328BFDCBD716CDA,Keen Eye
TOKUSEI_052,4328BEDCBD716B27,Hyper Cutter
TOKUSEI_053,4328BDDCBD716974,Pickup
TOKUSEI_054,4328BCDCBD7167C1,Truant
TOKUSEI_055,4328BBDCBD71660E,Hustle
TOKUSEI_056,4328BADCBD71645B,Cute Charm
TOKUSEI_057,4328B9DCBD7162A8,Plus
TOKUSEI_058,4328B8DCBD7160F5,Minus
TOKUSEI_059,4328B7DCBD715F42,Forecast
TOKUSEI_060,432C26DCBD7451B6,Sticky Hold
TOKUSEI_061,432C27DCBD745369,Shed Skin
TOKUSEI_062,432C24DCBD744E50,Guts
TOKUSEI_063,432C25DCBD745003,Marvel Scale
TOKUSEI_064,432C2ADCBD745882,Liquid Ooze
TOKUSEI_065,432C2BDCBD745A35,Overgrow
TOKUSEI_066,432C28DCBD74551C,Blaze
TOKUSEI_067,432C29DCBD7456CF,Torrent
TOKUSEI_068,432C2EDCBD745F4E,Swarm
TOKUSEI_069,432C2FDCBD746101,Rock Head
TOKUSEI_070,432F2CDCBD7691BF,Drought
TOKUSEI_071,432F2BDCBD76900C,Arena Trap
TOKUSEI_072,432F2EDCBD769525,Vital Spirit
TOKUSEI_073,432F2DDCBD769372,White Smoke
TOKUSEI_074,432F28DCBD768AF3,Pure Power
TOKUSEI_075,432F27DCBD768940,Shell Armor
TOKUSEI_076,432F2ADCBD768E59,Air Lock
TOKUSEI_077,432F29DCBD768CA6,Tangled Feet
TOKUSEI_078,432F34DCBD769F57,Motor Drive
TOKUSEI_079,432F33DCBD769DA4,Rivalry
TOKUSEI_080,4332B2DCBD79AB48,Steadfast
TOKUSEI_081,4332B3DCBD79ACFB,Snow Cloak
TOKUSEI_082,4332B4DCBD79AEAE,Gluttony
TOKUSEI_083,4332B5DCBD79B061,Anger Point
TOKUSEI_084,4332B6DCBD79B214,Unburden
TOKUSEI_085,4332B7DCBD79B3C7,Heatproof
TOKUSEI_086,4332B8DCBD79B57A,Simple
TOKUSEI_087,4332B9DCBD79B72D,Dry Skin
TOKUSEI_088,4332AADCBD799DB0,Download
TOKUSEI_089,4332ABDCBD799F63,Iron Fist
TOKUSEI_090,433638DCBD7CC4D1,Poison Heal
TOKUSEI_091,433637DCBD7CC31E,Adaptability
TOKUSEI_092,433636DCBD7CC16B,Skill Link
TOKUSEI_093,433635DCBD7CBFB8,Hydration
TOKUSEI_094,43363CDCBD7CCB9D,Solar Power
TOKUSEI_095,43363BDCBD7CC9EA,Quick Feet
TOKUSEI_096,43363ADCBD7CC837,Normalize
TOKUSEI_097,433639DCBD7CC684,Sniper
TOKUSEI_098,433630DCBD7CB739,Magic Guard
TOKUSEI_099,43362FDCBD7CB586,No Guard
TOKUSEI_100,4A7ADDDCC13597AB,Stall
TOKUSEI_101,4A7ADCDCC13595F8,Technician
TOKUSEI_102,4A7ADFDCC1359B11,Leaf Guard
TOKUSEI_103,4A7ADEDCC135995E,Klutz
TOKUSEI_104,4A7AE1DCC1359E77,Mold Breaker
TOKUSEI_105,4A7AE0DCC1359CC4,Super Luck
TOKUSEI_106,4A7AE3DCC135A1DD,Aftermath
TOKUSEI_107,4A7AE2DCC135A02A,Anticipation
TOKUSEI_108,4A7AD5DCC1358A13,Forewarn
TOKUSEI_109,4A7AD4DCC1358860,Unaware
TOKUSEI_110,4A7757DCC1327E22,Tinted Lens
TOKUSEI_111,4A7758DCC1327FD5,Filter
TOKUSEI_112,4A7755DCC1327ABC,Slow Start
TOKUSEI_113,4A7756DCC1327C6F,Scrappy
TOKUSEI_114,4A7753DCC1327756,Storm Drain
TOKUSEI_115,4A7754DCC1327909,Ice Body
TOKUSEI_116,4A7751DCC13273F0,Solid Rock
TOKUSEI_117,4A7752DCC13275A3,Snow Warning
TOKUSEI_118,4A775FDCC1328BBA,Honey Gather
TOKUSEI_119,4A7760DCC1328D6D,Frisk
TOKUSEI_120,4A73D1DCC12F6499,Reckless
TOKUSEI_121,4A73D0DCC12F62E6,Multitype
TOKUSEI_122,4A73CFDCC12F6133,Flower Gift
TOKUSEI_123,4A73CEDCC12F5F80,Bad Dreams
TOKUSEI_124,4A73D5DCC12F6B65,Pickpocket
TOKUSEI_125,4A73D4DCC12F69B2,Sheer Force
TOKUSEI_126,4A73D3DCC12F67FF,Contrary
TOKUSEI_127,4A73D2DCC12F664C,Unnerve
TOKUSEI_128,4A73D9DCC12F7231,Defiant
TOKUSEI_129,4A73D8DCC12F707E,Defeatist
TOKUSEI_130,4A70CBDCC12D2490,Cursed Body
TOKUSEI_131,4A70CCDCC12D2643,Healer
TOKUSEI_132,4A70CDDCC12D27F6,Friend Guard
TOKUSEI_133,4A70CEDCC12D29A9,Weak Armor
TOKUSEI_134,4A70CFDCC12D2B5C,Heavy Metal
TOKUSEI_135,4A70D0DCC12D2D0F,Light Metal
TOKUSEI_136,4A70D1DCC12D2EC2,Multiscale
TOKUSEI_137,4A70D2DCC12D3075,Toxic Boost
TOKUSEI_138,4A70D3DCC12D3228,Flare Boost
TOKUSEI_139,4A70D4DCC12D33DB,Harvest
TOKUSEI_140,4A8855DCC140EDEF,Telepathy
TOKUSEI_141,4A8854DCC140EC3C,Moody
TOKUSEI_142,4A8857DCC140F155,Overcoat
TOKUSEI_143,4A8856DCC140EFA2,Poison Touch
TOKUSEI_144,4A8851DCC140E723,Regenerator
TOKUSEI_145,4A8850DCC140E570,Big Pecks
TOKUSEI_146,4A8853DCC140EA89,Sand Rush
TOKUSEI_147,4A8852DCC140E8D6,Wonder Skin
TOKUSEI_148,4A885DDCC140FB87,Analytic
TOKUSEI_149,4A885CDCC140F9D4,Illusion
TOKUSEI_150,4A84CFDCC13DD466,Imposter
TOKUSEI_151,4A84D0DCC13DD619,Infiltrator
TOKUSEI_152,4A84CDDCC13DD100,Mummy
TOKUSEI_153,4A84CEDCC13DD2B3,Moxie
TOKUSEI_154,4A84D3DCC13DDB32,Justified
TOKUSEI_155,4A84D4DCC13DDCE5,Rattled
TOKUSEI_156,4A84D1DCC13DD7CC,Magic Bounce
TOKUSEI_157,4A84D2DCC13DD97F,Sap Sipper
TOKUSEI_158,4A84D7DCC13DE1FE,Prankster
TOKUSEI_159,4A84D8DCC13DE3B1,Sand Force
TOKUSEI_160,4A8169DCC13AF13D,Iron Barbs
TOKUSEI_161,4A8168DCC13AEF8A,Zen Mode
TOKUSEI_162,4A8167DCC13AEDD7,Victory Star
TOKUSEI_163,4A8166DCC13AEC24,Turboblaze
TOKUSEI_164,4A8165DCC13AEA71,Teravolt
TOKUSEI_165,4A8164DCC13AE8BE,Aroma Veil
TOKUSEI_166,4A8163DCC13AE70B,Flower Veil
TOKUSEI_167,4A8162DCC13AE558,Cheek Pouch
TOKUSEI_168,4A8161DCC13AE3A5,Protean
TOKUSEI_169,4A8160DCC13AE1F2,Fur Coat
TOKUSEI_170,4A7E63DCC138B134,Magician
TOKUSEI_171,4A7E64DCC138B2E7,Bulletproof
TOKUSEI_172,4A7E65DCC138B49A,Competitive
TOKUSEI_173,4A7E66DCC138B64D,Strong Jaw
TOKUSEI_174,4A7E5FDCC138AA68,Refrigerate
TOKUSEI_175,4A7E60DCC138AC1B,Sweet Veil
TOKUSEI_176,4A7E61DCC138ADCE,Stance Change
TOKUSEI_177,4A7E62DCC138AF81,Gale Wings
TOKUSEI_178,4A7E5BDCC138A39C,Mega Launcher
TOKUSEI_179,4A7E5CDCC138A54F,Grass Pelt
TOKUSEI_180,4A95CDDCC14C4433,Symbiosis
TOKUSEI_181,4A95CCDCC14C4280,Tough Claws
TOKUSEI_182,4A95CFDCC14C4799,Pixilate
TOKUSEI_183,4A95CEDCC14C45E6,Gooey
TOKUSEI_184,4A95D1DCC14C4AFF,Aerilate
TOKUSEI_185,4A95D0DCC14C494C,Parental Bond
TOKUSEI_186,4A95D3DCC14C4E65,Dark Aura
TOKUSEI_187,4A95D2DCC14C4CB2,Fairy Aura
TOKUSEI_188,4A95D5DCC14C51CB,Aura Break
TOKUSEI_189,4A95D4DCC14C5018,Primordial Sea
TOKUSEI_190,4A9267DCC149610A,Desolate Land
TOKUSEI_191,4A9268DCC14962BD,Delta Stream
TOKUSEI_192,4A9265DCC1495DA4,Stamina
TOKUSEI_193,4A9266DCC1495F57,Wimp Out
TOKUSEI_194,4A9263DCC1495A3E,Emergency Exit
TOKUSEI_195,4A9264DCC1495BF1,Water Compaction
TOKUSEI_196,4A9261DCC14956D8,Merciless
TOKUSEI_197,4A9262DCC149588B,Shields Down
TOKUSEI_198,4A925FDCC1495372,Stakeout
TOKUSEI_199,4A9260DCC1495525,Water Bubble
TOKUSEI_200,5390F8DCC679C516,Steelworker
TOKUSEI_201,5390F9DCC679C6C9,Berserk
TOKUSEI_202,5390F6DCC679C1B0,Slush Rush
TOKUSEI_203,5390F7DCC679C363,Long Reach
TOKUSEI_204,5390FCDCC679CBE2,Liquid Voice
TOKUSEI_205,5390FDDCC679CD95,Triage
TOKUSEI_206,5390FADCC679C87C,Galvanize
TOKUSEI_207,5390FBDCC679CA2F,Surge Surfer
TOKUSEI_208,539100DCC679D2AE,Schooling
TOKUSEI_209,539101DCC679D461,Disguise
TOKUSEI_210,53947EDCC67CDE9F,Battle Bond
TOKUSEI_211,53947DDCC67CDCEC,Power Construct
TOKUSEI_212,539480DCC67CE205,Corrosion
TOKUSEI_213,53947FDCC67CE052,Comatose
TOKUSEI_214,53947ADCC67CD7D3,Queenly Majesty
TOKUSEI_215,539479DCC67CD620,Innards Out
TOKUSEI_216,53947CDCC67CDB39,Dancer
TOKUSEI_217,53947BDCC67CD986,Battery
TOKUSEI_218,539486DCC67CEC37,Fluffy
TOKUSEI_219,539485DCC67CEA84,Dazzling
TOKUSEI_220,538A0CDCC673C864,Soul-Heart
TOKUSEI_221,538A0DDCC673CA17,Tangling Hair
TOKUSEI_222,538A0EDCC673CBCA,Receiver
TOKUSEI_223,538A0FDCC673CD7D,Power of Alchemy
TOKUSEI_224,538A08DCC673C198,Beast Boost
TOKUSEI_225,538A09DCC673C34B,RKS System
TOKUSEI_226,538A0ADCC673C4FE,Electric Surge
TOKUSEI_227,538A0BDCC673C6B1,Psychic Surge
TOKUSEI_228,538A04DCC673BACC,Misty Surge
TOKUSEI_229,538A05DCC673BC7F,Grassy Surge
TOKUSEI_230,538D92DCC676E1ED,Full Metal Body
TOKUSEI_231,538D91DCC676E03A,Shadow Shield
TOKUSEI_232,538D90DCC676DE87,Prism Armor
TOKUSEI_233,538D8FDCC676DCD4,Neuroforce
TOKUSEI_234,538D8EDCC676DB21,Intrepid Sword
TOKUSEI_235,538D8DDCC676D96E,Dauntless Shield
TOKUSEI_236,538D8CDCC676D7BB,Libero
TOKUSEI_237,538D8BDCC676D608,Ball Fetch
TOKUSEI_238,538D8ADCC676D455,Cotton Down
TOKUSEI_239,538D89DCC676D2A2,Propeller Tail
TOKUSEI_240,538380DCC66E6ED2,Mirror Armor
TOKUSEI_241,538381DCC66E7085,Gulp Missile
TOKUSEI_242,53837EDCC66E6B6C,Stalwart
TOKUSEI_243,53837FDCC66E6D1F,Steam Engine
TOKUSEI_244,53837CDCC66E6806,Punk Rock
TOKUSEI_245,53837DDCC66E69B9,Sand Spit
TOKUSEI_246,53837ADCC66E64A0,Ice Scales
TOKUSEI_247,53837BDCC66E6653,Ripen
TOKUSEI_248,538388DCC66E7C6A,Ice Face
TOKUSEI_249,538389DCC66E7E1D,Power Spot
TOKUSEI_250,538706DCC671885B,Mimicry
TOKUSEI_251,538705DCC67186A8,Screen Cleaner
TOKUSEI_252,538708DCC6718BC1,Steely Spirit
TOKUSEI_253,538707DCC6718A0E,Perish Body
TOKUSEI_254,53870ADCC6718F27,Wandering Spirit
TOKUSEI_255,538709DCC6718D74,Gorilla Tactics
TOKUSEI_256,53870CDCC671928D,Neutralizing Gas
TOKUSEI_257,53870BDCC67190DA,Pastel Veil
TOKUSEI_258,5386FEDCC6717AC3,Hunger Switch
TOKUSEI_259,5386FDDCC6717910,Quick Draw
TOKUSEI_260,537C74DCC6683BC0,Unseen Fist
TOKUSEI_261,537C75DCC6683D73,Curious Medicine
TOKUSEI_262,537C76DCC6683F26,Transistor
TOKUSEI_263,537C77DCC66840D9,Dragon’s Maw
TOKUSEI_264,537C78DCC668428C,Chilling Neigh
TOKUSEI_265,537C79DCC668443F,Grim Neigh
TOKUSEI_266,537C7ADCC66845F2,As One
TOKUSEI_267,537C7BDCC66847A5,As One
TOKUSEI_268,537C7CDCC6684958,Lingering Aroma
TOKUSEI_269,537C7DDCC6684B0B,Seed Sower
TOKUSEI_270,537FFADCC66B5549,Thermal Exchange
TOKUSEI_271,537FF9DCC66B5396,Anger Shell
TOKUSEI_272,537FF8DCC66B51E3,Purifying Salt
TOKUSEI_273,537FF7DCC66B5030,Well-Baked Body
TOKUSEI_274,537FFEDCC66B5C15,Wind Rider
TOKUSEI_275,537FFDDCC66B5A62,Guard Dog
TOKUSEI_276,537FFCDCC66B58AF,Rocky Payload
TOKUSEI_277,537FFBDCC66B56FC,Wind Power
TOKUSEI_278,538002DCC66B62E1,Zero to Hero
TOKUSEI_279,538001DCC66B612E,Commander
TOKUSEI_280,53AC08DCC690A7FE,Electromorphosis
TOKUSEI_281,53AC09DCC690A9B1,Protosynthesis
TOKUSEI_282,53AC06DCC690A498,Quark Drive
TOKUSEI_283,53AC07DCC690A64B,Good as Gold
TOKUSEI_284,53AC0CDCC690AECA,Vessel of Ruin
TOKUSEI_285,53AC0DDCC690B07D,Sword of Ruin
TOKUSEI_286,53AC0ADCC690AB64,Tablets of Ruin
TOKUSEI_287,53AC0BDCC690AD17,Beads of Ruin
TOKUSEI_288,53AC00DCC6909A66,Orichalcum Pulse
TOKUSEI_289,53AC01DCC6909C19,Hadron Engine
TOKUSEI_290,53AF8EDCC693C187,Opportunist
TOKUSEI_291,53AF8DDCC693BFD4,Cud Chew
TOKUSEI_292,53AF90DCC693C4ED,Sharpness
TOKUSEI_293,53AF8FDCC693C33A,Supreme Overlord
TOKUSEI_294,53AF8ADCC693BABB,Costar
TOKUSEI_295,53AF89DCC693B908,Toxic Debris
TOKUSEI_296,53AF8CDCC693BE21,Armor Tail
TOKUSEI_297,53AF8BDCC693BC6E,Earth Eater
TOKUSEI_298,53AF86DCC693B3EF,Mycelium Might
TOKUSEI_299,53AF85DCC693B23C,Hospitality
TOKUSEI_300,5CA733DCCBBE28E1,Mind’s Eye
TOKUSEI_301,5CA732DCCBBE272E,Embody Aspect
TOKUSEI_302,5CA731DCCBBE257B,Embody Aspect
TOKUSEI_303,5CA730DCCBBE23C8,Embody Aspect
TOKUSEI_304,5CA737DCCBBE2FAD,Embody Aspect
TOKUSEI_305,5CA736DCCBBE2DFA,Toxic Chain
TOKUSEI_306,5CA735DCCBBE2C47,Supersweet Syrup
TOKUSEI_308,5CA72BDCCBBE1B49,Tera Shift
TOKUSEI_309,5CA72ADCCBBE1996,Tera Shell
TOKUSEI_310,5CA3ADDCCBBB0F58,Teraform Zero
TOKUSEI_311,5CA3AEDCCBBB110B,Poison Puppeteer
