label,hash,flavor_text
TYPENAME_000,5828755EBC49051,Normal
TYPENAME_001,5828655EBC48E9E,Fighting
TYPENAME_002,5828555EBC48CEB,Flying
TYPENAME_003,5828455EBC48B38,Poison
TYPENAME_004,5828B55EBC4971D,Ground
TYPENAME_005,5828A55EBC4956A,Rock
TYPENAME_006,5828955EBC493B7,Bug
TYPENAME_007,5828855EBC49204,Ghost
TYPENAME_008,5827F55EBC482B9,Steel
TYPENAME_010,57F0155EBC176C8,Fire
TYPENAME_011,57F0255EBC1787B,Water
TYPENAME_012,57F0355EBC17A2E,Grass
TYPENAME_013,57F0455EBC17BE1,Electric
TYPENAME_014,57F0555EBC17D94,Psychic
TYPENAME_015,57F0655EBC17F47,Ice
TYPENAME_016,57F0755EBC180FA,Dragon
TYPENAME_017,57F0855EBC182AD,Dark
TYPENAME_018,57EF955EBC16930,Fairy
TYPENAME_020,5897355EBCA8D03,Stellar
