label,hash,flavor_text
WAZANAME_000,62A9A8D6974A2A80,———
WAZANAME_001,62A9A9D6974A2C33,Pound
WAZANAME_002,62A9AAD6974A2DE6,Karate Chop
WAZANAME_003,62A9ABD6974A2F99,Double Slap
WAZANAME_004,62A9ACD6974A314C,Comet Punch
WAZANAME_005,62A9ADD6974A32FF,Mega Punch
WAZANAME_006,62A9AED6974A34B2,Pay Day
WAZANAME_007,62A9AFD6974A3665,Fire Punch
WAZANAME_008,62A9B0D6974A3818,Ice Punch
WAZANAME_009,62A9B1D6974A39CB,Thunder Punch
WAZANAME_010,62AD2ED6974D4409,Scratch
WAZANAME_011,62AD2DD6974D4256,Vise Grip
WAZANAME_012,62AD2CD6974D40A3,Guillotine
WAZANAME_013,62AD2BD6974D3EF0,Razor Wind
WAZANAME_014,62AD32D6974D4AD5,Swords Dance
WAZANAME_015,62AD31D6974D4922,Cut
WAZANAME_016,62AD30D6974D476F,Gust
WAZANAME_017,62AD2FD6974D45BC,Wing Attack
WAZANAME_018,62AD36D6974D51A1,Whirlwind
WAZANAME_019,62AD35D6974D4FEE,Fly
WAZANAME_020,62B0B4D697505D92,Bind
WAZANAME_021,62B0B5D697505F45,Slam
WAZANAME_022,62B0B2D697505A2C,Vine Whip
WAZANAME_023,62B0B3D697505BDF,Stomp
WAZANAME_024,62B0B0D6975056C6,Double Kick
WAZANAME_025,62B0B1D697505879,Mega Kick
WAZANAME_026,62B0AED697505360,Jump Kick
WAZANAME_027,62B0AFD697505513,Rolling Kick
WAZANAME_028,62B0BCD697506B2A,Sand Attack
WAZANAME_029,62B0BDD697506CDD,Headbutt
WAZANAME_030,62B43AD69753771B,Horn Attack
WAZANAME_031,62B439D697537568,Fury Attack
WAZANAME_032,62B43CD697537A81,Horn Drill
WAZANAME_033,62B43BD6975378CE,Tackle
WAZANAME_034,62B43ED697537DE7,Body Slam
WAZANAME_035,62B43DD697537C34,Wrap
WAZANAME_036,62B440D69753814D,Take Down
WAZANAME_037,62B43FD697537F9A,Thrash
WAZANAME_038,62B432D697536983,Double-Edge
WAZANAME_039,62B431D6975367D0,Tail Whip
WAZANAME_040,62B740D69755B724,Poison Sting
WAZANAME_041,62B741D69755B8D7,Twineedle
WAZANAME_042,62B742D69755BA8A,Pin Missile
WAZANAME_043,62B743D69755BC3D,Leer
WAZANAME_044,62B73CD69755B058,Bite
WAZANAME_045,62B73DD69755B20B,Growl
WAZANAME_046,62B73ED69755B3BE,Roar
WAZANAME_047,62B73FD69755B571,Sing
WAZANAME_048,62B738D69755A98C,Supersonic
WAZANAME_049,62B739D69755AB3F,Sonic Boom
WAZANAME_050,62BAC6D69758D0AD,Disable
WAZANAME_051,62BAC5D69758CEFA,Acid
WAZANAME_052,62BAC4D69758CD47,Ember
WAZANAME_053,62BAC3D69758CB94,Flamethrower
WAZANAME_054,62BAC2D69758C9E1,Mist
WAZANAME_055,62BAC1D69758C82E,Water Gun
WAZANAME_056,62BAC0D69758C67B,Hydro Pump
WAZANAME_057,62BABFD69758C4C8,Surf
WAZANAME_058,62BABED69758C315,Ice Beam
WAZANAME_059,62BABDD69758C162,Blizzard
WAZANAME_060,62BE2CD6975BB3D6,Psybeam
WAZANAME_061,62BE2DD6975BB589,Bubble Beam
WAZANAME_062,62BE2AD6975BB070,Aurora Beam
WAZANAME_063,62BE2BD6975BB223,Hyper Beam
WAZANAME_064,62BE30D6975BBAA2,Peck
WAZANAME_065,62BE31D6975BBC55,Drill Peck
WAZANAME_066,62BE2ED6975BB73C,Submission
WAZANAME_067,62BE2FD6975BB8EF,Low Kick
WAZANAME_068,62BE34D6975BC16E,Counter
WAZANAME_069,62BE35D6975BC321,Seismic Toss
WAZANAME_070,62C1B2D6975ECD5F,Strength
WAZANAME_071,62C1B1D6975ECBAC,Absorb
